signalID,zoneGroup,zone,corridor,subcorridor,agency,mainStreetName,sideStreetName,milepost,asOf,duplicate,include,modified,note,county,city,latitude,longitude,priority,classification
"7622","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","SR 54 / Fayetteville Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.51456,-84.36195,"High","Progression"
"7623","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / SR 54 / US 19 / US 41 / Tara Blvd","Flint River Rd / Fayetteville Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.51775,-84.36352,"High","Progression"
"7624","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / SR 54 / US 19 / US 41 / Tara Blvd","Smith St / Robert E Lee Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.52245,-84.36344,"High","Progression"
"7625","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / SR 54 / US 19 / US 41 / Tara Blvd","North Ave / Spur 138","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.53226,-84.36394,"High","Progression"
"7626","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","SR 138 / Spur 138","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.53768,-84.36512,"High","Progression"
"7627","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","North Carter Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.55131,-84.37011,"High","Progression"
"7628","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","Battle Creek Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.55554,-84.37067,"High","Progression"
"7629","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","Summerwind Dr / Sherwood Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.56416,-84.37126,"High","Progression"
"7612","Western Metro","District 7","SR 3S","7003008 - Tara South","Clayton County","SR 3 / US 41 / US 19 / Tara Blvd / Bear Creek Blvd","Lovejoy Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.44055,-84.32144,"Neutral","Progression"
"7613","Western Metro","District 7","SR 3S","7003008 - Tara South","Clayton County","SR 3 / US 41 / US 19 / Tara Blvd / Bear Creek Blvd","Lovejoy Center / Walmart Driveway","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.44408,-84.32304,"Neutral","Progression"
"7614","Western Metro","District 7","SR 3S","7003008 - Tara South","Clayton County","SR 3 / US 41 / US 19 / Tara Blvd / Bear Creek Blvd","McDonough Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.44861,-84.32505,"High","Progression"
"7615","Western Metro","District 7","SR 3S","7003008 - Tara South","Clayton County","SR 3 / US 41 / US 19 / Tara Blvd / Bear Creek Blvd","Home Depot Driveway","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.45202,-84.32601,"Neutral","Progression"
"7617","Western Metro","District 7","SR 3S","7003008 - Tara South","Clayton County","SR 3 / US 41 / US 19 / Tara Blvd / Bear Creek Blvd","Tara Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.47356,-84.33685,"High","Progression"
"7618","Western Metro","District 7","SR 3S","7003008 - Tara South","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","South Main St / Iron Gate Blvd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.48108,-84.33896,"High","Progression"
